date,sp500,P_gold,P_platinum
1991/01/01,343.93,383.64,392.75
1991/02/01,367.07,363.83,397
1991/03/01,375.22,363.34,391.6
1991/04/01,375.34,358.38,391
1991/05/01,389.83,356.95,378.25
1991/06/01,371.16,366.72,376.75
1991/07/01,387.81,367.68,362
1991/08/01,395.43,356.3,335.25
1991/09/01,387.86,348.74,350.9
1991/10/01,392.45,358.69,362
1991/11/01,375.22,360.17,369.35
1991/12/01,417.09,361.73,334.2
1992/01/01,408.78,354.45,349.4
1992/02/01,412.7,353.91,359.65
1992/03/01,403.69,344.34,353.4
1992/04/01,414.95,338.62,344.75
1992/05/01,415.35,337.24,370.05
1992/06/01,408.14,340.8,378.5
1992/07/01,424.21,352.72,385.5
1992/08/01,414.03,343.06,356.15
1992/09/01,417.8,345.43,367.5
1992/10/01,418.68,344.38,353.5
1992/11/01,431.35,335.02,357.55
1992/12/01,435.71,334.8,355.25
1993/01/01,438.78,329.01,364.5
1993/02/01,443.38,329.31,344.5
1993/03/01,451.67,330.08,361.75
1993/04/01,440.19,342.15,386.5
1993/05/01,450.19,367.18,396.55
1993/06/01,450.53,371.89,385.7
1993/07/01,448.13,392.19,414.5
1993/08/01,463.56,378.84,383.25
1993/09/01,458.93,355.28,357.75
1993/10/01,467.83,364.18,373
1993/11/01,461.79,373.83,367.35
1993/12/01,466.45,383.3,393.5
1994/01/01,481.61,386.88,381.6
1994/02/01,467.14,381.91,394.5
1994/03/01,445.77,384.13,415.25
1994/04/01,450.91,377.27,392.5
1994/05/01,456.5,381.41,398.75
1994/06/01,444.27,385.64,400.25
1994/07/01,458.26,385.49,419
1994/08/01,475.49,380.35,412
1994/09/01,462.71,391.58,419.25
1994/10/01,472.35,389.77,421.4
1994/11/01,453.69,384.39,409.6
1994/12/01,459.27,379.29,416.5
1995/01/01,470.42,378.55,415.75
1995/02/01,487.39,376.64,412.65
1995/03/01,500.71,382.12,431.6
1995/04/01,514.71,391.03,446.5
1995/05/01,533.4,385.22,434.1
1995/06/01,544.75,387.56,439.75
1995/07/01,562.06,386.23,425.75
1995/08/01,561.88,383.65,427.85
1995/09/01,584.41,383.05,423.9
1995/10/01,581.5,383.14,409.5
1995/11/01,605.37,385.31,413.25
1995/12/01,615.93,387.44,398.25
1996/01/01,636.02,399.45,418.15
1996/02/01,640.43,404.76,408
1996/03/01,645.5,396.21,410
1996/04/01,654.17,392.85,400.5
1996/05/01,669.12,391.93,399
1996/06/01,670.63,385.27,388.65
1996/07/01,639.95,383.47,399.5
1996/08/01,651.99,387.35,397
1996/09/01,687.33,383.14,383.5
1996/10/01,705.27,381.07,380.5
1996/11/01,757.02,377.85,374.5
1996/12/01,740.74,369,370.25
1997/01/01,786.16,355.1,350.25
1997/02/01,790.82,346.58,398.75
1997/03/01,757.12,351.81,373.5
1997/04/01,801.34,344.47,374.25
1997/05/01,848.28,343.84,410
1997/06/01,885.14,340.76,423
1997/07/01,954.31,324.1,429
1997/08/01,899.47,324.01,410
1997/09/01,947.28,322.82,432.75
1997/10/01,914.62,324.87,409
1997/11/01,955.4,306.04,382
1997/12/01,970.43,288.74,362
1998/01/01,980.28,289.1,388
1998/02/01,1049.34,297.49,385.25
1998/03/01,1101.75,295.94,407
1998/04/01,1111.75,308.29,404
1998/05/01,1090.82,299.1,364
1998/06/01,1133.84,292.32,352
1998/07/01,1120.67,292.87,378
1998/08/01,957.28,284.11,349
1998/09/01,1017.01,288.98,349
1998/10/01,1098.67,295.93,336
1998/11/01,1163.63,294.12,353
1998/12/01,1229.23,291.68,361.5
1999/01/01,1279.64,287.12,345
1999/02/01,1238.33,287.33,379.5
1999/03/01,1286.37,285.96,361
1999/04/01,1335.18,282.62,350
1999/05/01,1301.84,276.44,365
1999/06/01,1372.71,261.31,348
1999/07/01,1328.72,256.08,346
1999/08/01,1320.41,256.69,349
1999/09/01,1282.71,264.74,401
1999/10/01,1362.93,310.72,420
1999/11/01,1388.91,293.18,435
1999/12/01,1469.25,283.07,448
2000/01/01,1394.46,284.32,495
2000/02/01,1366.42,299.86,486
2000/03/01,1498.58,286.39,482
2000/04/01,1452.43,279.69,510
2000/05/01,1420.6,275.19,548
2000/06/01,1454.6,285.73,565
2000/07/01,1430.83,281.59,570
2000/08/01,1517.68,274.47,587
2000/09/01,1436.51,273.68,574
2000/10/01,1429.4,270,580
2000/11/01,1314.95,266.01,604
2000/12/01,1320.28,271.45,611
2001/01/01,1366.01,265.49,605
2001/02/01,1239.94,261.86,613
2001/03/01,1160.33,263.03,564
2001/04/01,1249.46,260.48,596
2001/05/01,1255.82,272.35,608
2001/06/01,1224.38,270.23,558
2001/07/01,1211.23,267.53,473
2001/08/01,1133.58,272.39,446
2001/09/01,1040.94,283.42,430
2001/10/01,1059.78,283.06,427
2001/11/01,1139.45,276.16,441
2001/12/01,1148.08,275.85,477
2002/01/01,1130.2,281.51,457
2002/02/01,1106.73,295.5,493
2002/03/01,1147.39,294.05,514
2002/04/01,1076.92,302.68,537
2002/05/01,1067.14,314.49,548
2002/06/01,989.82,321.18,547
2002/07/01,911.62,313.29,530
2002/08/01,916.07,310.25,568
2002/09/01,815.28,319.14,563.5
2002/10/01,885.76,316.56,583
2002/11/01,936.31,319.07,589
2002/12/01,879.82,331.92,598
2003/01/01,855.7,356.86,669
