date,sp500,NASDAQ ,Dow Jones,P_gold,P_platinum
1991/1/1,343.93,414.2,2736.39,383.64,392.75
1991/2/1,367.07,453.05,2882.18,363.83,397
1991/3/1,375.22,482.3,2913.86,363.34,391.6
1991/4/1,375.34,484.72,2887.87,358.38,391
1991/5/1,389.83,506.11,3027.5,356.95,378.25
1991/6/1,371.16,475.92,2906.75,366.72,376.75
1991/7/1,387.81,502.04,3024.82,367.68,362
1991/8/1,395.43,525.68,3043.6,356.3,335.25
1991/9/1,387.86,526.88,3016.77,348.74,350.9
1991/10/1,392.45,542.98,3069.1,358.69,362
1991/11/1,375.22,523.9,2894.68,360.17,369.35
1991/12/1,417.09,586.34,3168.83,361.73,334.2
1992/1/1,408.78,620.21,3223.39,354.45,349.4
1992/2/1,412.7,633.47,3267.66,353.91,359.65
1992/3/1,403.69,603.77,3235.47,344.34,353.4
1992/4/1,414.95,578.68,3359.12,338.62,344.75
1992/5/1,415.35,585.31,3396.88,337.24,370.05
1992/6/1,408.14,563.6,3318.52,340.8,378.5
1992/7/1,424.21,580.83,3393.78,352.72,385.5
1992/8/1,414.03,563.12,3257.34,343.06,356.15
1992/9/1,417.8,583.27,3271.66,345.43,367.5
1992/10/1,418.68,605.17,3226.28,344.38,353.5
1992/11/1,431.35,652.73,3305.16,335.02,357.55
1992/12/1,435.71,676.95,3301.11,334.8,355.25
1993/1/1,438.78,696.34,3310.03,329.01,364.5
1993/2/1,443.38,670.77,3370.81,329.31,344.5
1993/3/1,451.67,690.13,3435.11,330.08,361.75
1993/4/1,440.19,661.42,3427.55,342.15,386.5
1993/5/1,450.19,700.53,3527.43,367.18,396.55
1993/6/1,450.53,703.95,3516.08,371.89,385.7
1993/7/1,448.13,704.7,3539.47,392.19,414.5
1993/8/1,463.56,742.84,3651.25,378.84,383.25
1993/9/1,458.93,762.78,3555.12,355.28,357.75
1993/10/1,467.83,779.26,3680.59,364.18,373
1993/11/1,461.79,754.39,3683.95,373.83,367.35
1993/12/1,466.45,776.8,3754.09,383.3,393.5
1994/1/1,481.61,800.47,3978.36,386.88,381.6
1994/2/1,467.14,792.5,3832.02,381.91,394.5
